7 days / 1 weeks|$1,844|(#83 rank, 10 theaters, $184 average)|64.7%|10 theaters|March 9, 2017|2/26/17|Spain|12/2/16|$571,546|28.7%|$1,992,197|
November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|52.2%|$201,099|10/23/11|Hong Kong|Newport|9/29/11|$104,930|
|$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|$135,739|-|$2,204,459|11/20/11|Japan|Toei|10/5/11|-|
$135,739|100.0%|n/a|0.0%|$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|November 10, 2011|35 days / 5 weeks|42.7%|$359,861|11/6/11|Malaysia|GoldSceen|10/13/11|$153,532|
(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|$135,739||$55,850|39%|$14,665|10/9/11|New Zealand|Incub.|9/29/11|$5,717|
n/a|0.0%|$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|November 10, 2011|35 days / 5 weeks|$135,739|100.0%|48.1%|$621,670|10/30/11|Singapore|Cathay|9/29/11|$299,285|
41.1%|November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.4%|$142,658|12/4/11|Thailand|MongkolMaj|11/3/11|$59,122|
$135,739||$55,850|(#41 rank, 33 theaters, $1,692 average)|33 theaters|41.1%|November 10, 2011|35 days / 5 weeks|$135,739|100.0%|n/a|0.0%|71%|$126,983|11/17/13|United Arab Emirates|Gulf|11/7/13|$90,129|
53.8%|$16,077|5/15/16|United Kingdom|Reliance|5/6/16|$8,642|
June 19, 2014|14 days / 2 weeks|$5,819|100.0%|n/a|0.0%|$5,819||$2,163|(#87 rank, 1 theaters, $2,163 average)|1 theaters|37.2%|5/11/14|Belgium|5/7/14|$1,207|100%|$1,207|
|$2,163|(#87 rank, 1 theaters, $2,163 average)|1 theaters|37.2%|June 19, 2014|14 days / 2 weeks|$5,819|100.0%|n/a|0.0%|$5,819|7/12/15|Peru|7/9/15|$2,640|100%|$2,640|
$5,819|100.0%|n/a|0.0%|$5,819||$2,163|(#87 rank, 1 theaters, $2,163 average)|1 theaters|37.2%|June 19, 2014|14 days / 2 weeks|5/3/15|Spain|3/13/15|$3,144|14.7%|$21,319|
November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|100%|$38,360|11/25/12|Australia|E1|11/22/12|$38,360|
|$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|$633,210|38.3%|$1,020,582|61.7%|$1,653,792|16.6%|$134,207|10/7/12|Austria|Constantin|7/6/12|$22,319|
$633,210|38.3%|$1,020,582|61.7%|$1,653,792||$23,942|(#50 rank, 2 theaters, $11,971 average)|42 theaters|3.8%|November 15, 2012|98 days / 14 weeks|33.2%|$145,735|6/10/12|Belgium|Paradiso|4/11/12|$48,337|
